Ward code,Year ending Dec 2019
E05010059,189000
E05010060,240000
E05010061,234995
E05010062,238000
E05000976,90000
E05000977,137000
E05000978,115000
E05000979,199950
E05000980,165950
E05000981,105000
E05000982,100000
E05000983,160000
E05000984,121500
E05000985,85000
E05000986,140000
E05000987,125000
E05000988,132500
E05000989,285000
E05000990,185000
E05000991,125000
E05000992,155500
E05000993,97500
E05000994,115000
E05000995,134950
E05000996,123500
E05010728,119475
E05010729,130000
E05010730,115000
E05010731,111000
E05010732,175000
E05010733,110000
E05010734,155000
E05010735,116500
E05010736,210000
E05010737,133000
E05010738,80000
E05010739,105000
E05010740,129998
E05010741,136500
E05010742,159000
E05010743,222500
E05010744,115995
E05010745,114750
E05010746,201500
E05010747,110000
E05010748,115000
E05008935,166500
E05001019,110000
E05001020,140000
E05008936,140500
E05001022,176000
E05001023,157500
E05001024,137000
E05001025,149000
E05001026,115000
E05001027,115000
E05001028,203998
E05001029,75000
E05001030,92500
E05001031,169973
E05001032,189000
E05001033,130000
E05001034,123375
E05001035,178250
E05001036,135000
E05001037,138000
E05001038,100000
E05010857,198000
E05010858,158000
E05010859,131750
E05010860,252589
E05010861,85000
E05010862,101500
E05010863,207000
E05010864,106000
E05010865,340000
E05010866,153000
E05010867,344995
E05010868,99975
E05010869,350000
E05010870,155000
E05010871,199000
E05010872,156000
E05010873,129995
E05010874,193500
E05010875,190000
E05010876,134248
E05010877,130500
E05010878,98750
E05010879,123995
E05010880,254000
E05010881,155000
E05010882,172000
E05010883,180000
E05010884,138500
E05001341,208000
E05001342,182000
E05001343,179000
E05001344,115000
E05001345,65000
E05001346,80000
E05001347,68343
E05001348,116000
E05001349,230000
E05001350,109500
E05001351,83500
E05001352,130000
E05001353,209950
E05001354,343000
E05001355,100000
E05001356,140000
E05001357,118250
E05001358,76200
E05001359,110000
E05001360,144725
E05001361,115000
E05001362,169725
E05001363,136000
E05001364,101000
E05001365,100000
E05001366,290000
E05001367,102000
E05001368,130000
E05001369,168000
E05001370,125000
E05001371,137749
E05001372,194000
E05001373,137000
E05001374,161000
E05001375,179975
E05001376,140000
E05001377,146000
E05001378,172000
E05001379,106500
E05001380,68500
E05001381,167125
E05001382,190000
E05001383,168000
E05001384,137500
E05001385,129950
E05001386,110000
E05001387,129400
E05008558,150000
E05001389,128000
E05001390,125000
E05001391,125000
E05001392,162500
E05001393,165000
E05008559,162250
E05008560,125000
E05001396,125500
E05001397,190000
E05001398,149995
E05001399,125000
E05001400,105500
E05001401,136250
E05001402,123500
E05001403,129000
E05008561,195000
E05001405,225000
E05008562,250000
E05001407,189950
E05001408,156000
E05001409,172000
E05001410,119000
E05012841,325000
E05012842,260000
E05011384,165000
E05011385,125000
E05012647,115250
E05011387,150000
E05011388,116000
E05011389,189999
E05011390,225075
E05011391,175000
E05012648,144000
E05011393,197335
E05011394,104000
E05011395,239475
E05011396,333750
E05011397,193500
E05011547,265000
E05011399,148500
E05011400,162500
E05011401,175000
E05011402,169450
E05011403,146500
E05011404,131250
E05011405,256000
E05011406,166500
E05011407,161750
E05011549,211000
E05011409,160000
E05011410,182500
E05011411,268750
E05011412,185000
E05011413,215000
E05011414,315000
E05001444,156000
E05001445,132000
E05001446,168000
E05001447,141500
E05001448,170000
E05001449,130000
E05001450,120000
E05001451,172250
E05001452,127000
E05001453,142000
E05001454,168000
E05001455,173000
E05001456,158500
E05001457,122500
E05001458,190000
E05001459,120000
E05001460,140000
E05001461,180000
E05001462,160000
E05001463,155000
E05001464,224950
E05001767,120000
E05001768,236000
E05001769,125000
E05001770,100000
E05001771,180000
E05001772,145000
E05001773,155000
E05001774,200000
E05001775,180000
E05001776,139975
E05001777,236995
E05001778,137500
E05001779,235000
E05001780,104000
E05001781,185000
E05001782,142000
E05001783,179995
E05010458,163500
E05010459,168000
E05010460,191000
E05010461,187500
E05010462,156500
E05010463,184750
E05010464,215000
E05010465,145000
E05010466,140000
E05010467,215000
E05010468,260000
E05010469,175000
E05010470,195500
E05010471,144250
E05010472,196000
E05010473,190000
E05010474,200000
E05010475,192000
E05010476,151000
E05010477,160000
E05010478,156500
E05012632,201995
E05012633,375000
E05012634,285000
E05012635,400000
E05012636,334995
E05012637,420000
E05012638,325000
E05012639,510000
E05012640,355000
E05012641,242500
E05012642,214000
E05012643,275000
E05012644,328000
E05012645,281475
E05012646,272000
E05012270,105000
E05012271,127500
E05012272,130000
E05012273,122500
E05012274,141000
E05012275,117750
E05012276,147000
E05012277,175000
E05012278,132750
E05012279,210000
E05012280,127000
E05012281,120000
E05012282,219000
E05012283,140250
E05012284,140000
E05012285,123900
E05012286,182995
E05012288,165000
E05012287,110000
E05012289,281250
E05003280,152000
E05003281,400000
